facility_name,facility_type,full_address,latitude,longitude
down's Residence,Other,"1304, 43 avenue, vernon, bc, V1T 8B2",50.2746532,-119.2497058
Dr. Helmcken Memorial Hospital and Health Centre,Hospital,"640, park dr, clearwater, bc, V0E 1N0",51.6453419,-120.018183
Dr. Peter Aids Foundation (Residence),Other,"1110, comox st, vancouver, bc, V6E 1K5",49.281727,-123.13
Dufferin Group Home,Other,"1423, mt dufferin dr, kamloops, bc, V2E 1A1",50.6590596,-120.3843445
Duke House,Other,"2707, duke st, vancouver, bc, V5R 4S8",49.2393317,-123.0497683
Dunrovin Park Lodge,Other,"900, st laurent ave, quesnel, bc, V2J 3S3",52.979626,-122.48601
Consort Hospital,Hospital,"5402, 52 ave, consort, ab, T0C 1B0",52.0098399,-110.7820183
Dustin House,Other,"4967, dustin crt, victoria, bc, V8Y 3B5",48.514907,-123.38556
Duthie Avenue,Other,"1055, duthie ave, burnaby, bc, V5A 2R3",49.2748071,-122.9538731
Dwelling Place,Other,"2630, labieux rd, nanaimo, bc, V9T 3N1",49.199663,-124.01516
Eagle Crescent,Other,"128, eagle crescent, williams lake, bc, V2G 5K2",52.1190375,-122.1625031
Eagle Ridge Hospital,Hospital,"475, guildford way, port moody, bc, V3H 3W9",49.285505,-122.82358
Eagle Rock Heights,Other,"972, greenridge cres, victoria, bc, V8X 3B9",48.466336,-123.36825
East 36th House,Other,"325, e 36 ave, vancouver, bc, V5W 1C5",49.2383527,-123.0986843
East 45th Group Home,Other,"2639, e 45 ave, vancouver, bc, V5R 3B9",49.229687299999995,-123.0525228
East 61st Community House,Other,"648, e 61 ave, vancouver, bc, V5X 2B9",49.214680799999996,-123.0920388
East Keith Road House,Other,"317, keith road e, north vancouver, bc, V7L 1V6",49.313665,-123.067037
East Kootenay Regional Hospital,Hospital,"13, 24 ave n, cranbrook, bc, V1C 3H9",49.512421999999994,-115.749993
Eastlawn,Other,"1190, eastlawn dr, burnaby, bc, V5B 3H1",49.2739211,-122.9903615
Eden Care Centre,Other,"9100, charles st, chilliwack, bc, V2P 5K6",49.167238299999994,-121.9419001
Eden Gardens,Other,"1917, northfield rd, nanaimo, bc, V9S 3B6",49.191744,-123.98389
Edgemont House,Other,"2490, edgemont blvd, north vancouver, bc, V7R 2M8",49.3328531,-123.0948838
Edgemont Medical Clinic,Clinic,"104-3053, edgemont boulvard n, vancouver, bc, V7R 2N5",49.336925,-123.101618
Edgewood,Other,"2121, boxwood rd, nanaimo, bc, V9S 4L2",49.189984,-123.99763
Edmonds House,Other,"7731, wedgewood st, burnaby, bc, V5E 2E5",49.2252184,-122.9412436
Edwards Crossing Medical,Clinic,"9-45955, yale road, chilliwack, bc, V2P 2M4",49.168184,-121.958392
Ehn Canada White Rock Mental Health Services Inc,Other,"2567, king george blvd, surrey, bc, V4P 1H5",49.048515,-122.797706
Eighth Avenue Group Home,Other,"210, 8 ave, burns lake, bc, V0J 1E0",54.2341003,-125.7581811
Eightieth Avenue House,Other,"11448, 80 ave, delta, bc, V4C 1X3",49.148371999999995,-122.90575
Eleanor House,Other,"2052, eleanor ave, abbotsford, bc, V2S 4L6",49.0392857,-122.26643500000002
Elgin House,Other,"2942, 144 st, surrey, bc, V4P 1P6",49.055582,-122.822937
Elicare Medical,Clinic,"9618, cameron street, burnaby, bc, V3J 1M2",49.253444,-122.89804
Elivan,Other,"3127, irma st, victoria, bc, V9A 1S9",48.447182299999994,-123.3844489
Eljen Medical Clinic,Clinic,"1300, 111 avenue, dawson creek, bc, V1G 2X5",55.749128000000006,-120.237571
Elk Valley Hospital,Hospital,"1501, 5 ave, fernie, bc, V0B 1M0",49.5136918,-115.0560315
Ellwood Medical Clinic,Clinic,"100-30495, cardinal avenue, abbotsford, bc, V2T 5R9",49.06074,-122.3788
Emerald Place,Other,"15, renfrew st, vancouver, bc, V5K 4A5",49.2845069,-123.0445436
Emerge Addiction Recovery Program,Other,"415, w pender st, vancouver, bc, V6B 1V2",49.28313320000001,-123.1119351
Emily House,Other,"4672, neville st, burnaby, bc, V5J 2H1",49.213623600000005,-122.9979473
English Bluff,Other,"4836, 13 ave, delta, bc, V4M 2B8",49.0260605,-123.0898037
CREE BOARD OF HEALTH AND SOCIAL SERVICES OF JAMES BAY/KUUJJUARAPIK,Hospital,"NA, NA, kuujjuarapik, qc, J0M 1G0",55.274399,-77.761614
CRSSS DE LA BAIE-JAMES,Hospital,"312, 3e rue, chibougamau, qc, G8P 1N5",49.913688,-74.356786
Eso Court,Other,"4225, eso ct, kelowna, bc, V1W 4A4",49.827363,-119.47799840000002
CSSS DE BEAUCE,Hospital,"1515, 17e rue, saint-georges, qc, G5Y 4T8",46.11065870000001,-70.6837863
CSSS DE CHICOUTIMI,Hospital,"305, rue saint-vallier, chicoutimi, qc, G7H 5H6",48.4259175,-71.04876429999999
CSSS DE LA HAUTE-YAMASKA,Hospital,"205, boul leclerc ouest, granby, qc, J2G 1T7",45.412502,-72.722638
CSSS DE LAC-SAINT-JEAN-EST,Hospital,"300, boul champlain sud, alma, qc, G8B 5W3",48.548021000000006,-71.664643
CSSS LES ESKERS DE L'ABITIBI,Hospital,"622, 4e rue ouest, amos, qc, J9T 2S2",48.57631,-78.125164
Esquimalt Medical Clinic,Clinic,"3-1153, esquimalt road, victoria, bc, V9A 3N7",48.429952,-123.40993600000002
Evergreen Care Unit,Other,"4970, joyce avenue, powell river, bc, V8A 5P2",49.85059,-124.529
Coronation Hspital & Care Centre,Hospital,"5000, municipal rd, coronation, ab, T0C 1C0",52.0962638,-111.459203
Evergreen Hamlets at Fleetwood,Other,"8382, 156 st, surrey, bc, V3S 3R7",49.155213,-122.789853
Evergreen House,Other,"638, kemsley ave, coquitlam, bc, V3J 3Z3",49.2662976,-122.8848789
Evergreen Residence,Other,"2841, evergreen st, abbotsford, bc, V2T 2S2",49.053649799999995,-122.3450986
Evergreen Seniors Home,Other,"635, evergreen rd, campbell river, bc, V9W 3R7",50.007318,-125.24818
f.w. Green Memorial Home,Other,"1700, 4 street s, cranbrook, bc, V1C 6E1",49.5052761,-115.7573544
Fair Haven Burnaby Lodge,Other,"7557, sussex ave, burnaby, bc, V5J 3V6",49.2152662,-123.0058287
Fair Haven Homes Vancouver Lodge,Other,"2720, e 48 ave, vancouver, bc, V5S 1G7",49.225367799999994,-123.0513694
Fairfield Medical Treatment Centre,Clinic,"302-1990, fort street, victoria, bc, V8R 6V4",48.432404,-123.322827
Fairway Home,Other,"670, fairway ave, victoria, bc, V9B 2R5",48.446099,-123.49386
False Creek Residence,Other,"1167, forge walk, vancouver, bc, V6H 3R1",49.26734,-123.129
Family Focus,Other,"143, scotton pl, salt spring island, bc, V8K 1J3",48.873689,-123.56437
Felix Road,Other,"295, felix rd, kelowna, bc, V1X 6X8",49.901886100000006,-119.3907555
Feltham,Other,"1765, feltham rd, victoria, bc, V8N 2A4",48.4758034,-123.3258787
Ferguson Home,Other,"32375, george ferguson way, abbotsford, bc, V2T 2L2",49.0552957,-122.3275505
Fernridge Place,Other,"2107, 200 st, langley, bc, V2Z 1Z6",49.040491,-122.669881
Fifty Fourth Avenue Home,Other,"12780, 54 ave, surrey, bc, V3X 3C2",49.100283000000005,-122.868452
Finnish Home,Other,"2288, harrison dr, vancouver, bc, V5P 2P6",49.20822879999999,-123.06074540000002
Finnish Manor,Other,"3460, kalyk ave, burnaby, bc, V5G 3B2",49.25405,-123.01274879999998
Fir Park Village,Other,"4411, wallace st, port alberni, bc, V9Y 7Y5",49.250749,-124.79915
First Canadian Medical Clinic,Clinic,"14888, 104 avenue, surrey, bc, V3R 1M4",49.191351,-122.80976
Firstcare Medical Centre,Clinic,"2590, commercial drive, vancouver, bc, V5N 4C2",49.261542,-123.069778
Fischer Place,Other,"555, cedar avenue, 100 mile house, bc, V0K 2E1",51.63807,-121.291632
Five Corners Residence,Other,"21451, old yale rd, langley, bc, V3A 4M6",49.0915519,-122.6283675
Flamingo Road,Other,"8244, flamingo rd, prince george, bc, V2N 2J1",54.005809,-122.82062
Fleet Street Group Home,Other,"2994, fleet st, coquitlam, bc, V3C 3R8",49.2634222,-122.8114257
Fleetwood House,Other,"9407, 161 st, surrey, bc, V4N 2P3",49.173384000000006,-122.776442
Fleetwood Place,Other,"16011, 83 ave, surrey, bc, V4N 0N2",49.153895,-122.778049
Fletcher 1,Other,"12062, fletcher st, maple ridge, bc, V2X 6K9",49.2216885,-122.5919793
Foothills Medical Clinic,Clinic,"203-3387, david avenue, coquitlam, bc, V3E 0K4",49.293372999999995,-122.755466
Foremed Clinic,Clinic,"420, columbia street, new westminster, bc, V3L 1B1",49.204289,-122.905839
Forensic Psychiatric Hospital (Forensic Psychiatric Services Commission),Hospital,"70, colony farm rd, port coquitlam, bc, V3C 5X9",49.263318,-123.111417
Forglen 5450,Other,"5450, forglen dr, burnaby, bc, V5H 3K7",49.234934499999994,-122.9926051
Forrest Place,Other,"491, forrest dr, warfield, bc, V1R 2H1",49.0940859,-117.7475746
Forrester House,Other,"1998, forrester st, victoria, bc, V8R 3H1",48.443712,-123.32226
HÔPITAL CHRIST-ROI,Hospital,"900, boulevard wilfrid-hamel, québec city, qc, J9T 2S2",46.81135599,-71.25837456
Fort Nelson General Hospital,Hospital,"5315, liard st, fort nelson, bc, V0C 1R0",58.808958700000005,-122.70494
HÔPITAL DE JOUR GÉRIATRIQUE,Hospital,"455, montée paiement, gatineau, qc, J9T 2S2",45.493517,-75.676739
Fort St. John Hospital,Hospital,"9636, 100 ave, fort st john, bc, V1J 1Y3",56.25613829999999,-120.816339
HÔPITAL DU CHRIST-ROI,Hospital,"675, rue saint-jean-baptiste, nicolet, qc, J3T 1S4",46.2306001,-72.6267734
Fourth and Alma,Other,"3625, w 4 ave, vancouver, bc, V6R 1P2",49.268865000000005,-123.1845142
HÔPITAL GENERAL DE SOREL,Other,"151, rue george, sorel-tracy, qc, J3P 1C8",46.0461353,-73.10887220000001
Foyer Maillard,Other,"1010, alderson ave, coquitlam, bc, V3K 1W1",49.23926289999999,-122.8662457
Francis House,Other,"8640, cruickshank drive, richmond, bc, V6Y 2X6",49.149711200000006,-123.1472723
HÔPITAL LAVAL,Hospital,"2725, ch ste-foy, sainte-foy, qc, G1V 4G5",46.7791191,-71.2976016
HÔPITAL LOUIS-H. LAFONTAINE,Hospital,"7401, rue hochelaga, montréal, qc, H1N 3M5",45.5884937,-73.5291412
Fraser Canyon Clinic,Clinic,"222, wallace street, hope, bc, V0X 1L0",49.378762,-121.44343899999998
Fraser Canyon Hospital,Hospital,"1275, 7 ave, hope, bc, V0X 1L4",49.3768382,-121.424275
HÔPITAL RIVIÈRE-DES-PRAIRIES,Hospital,"7070, boul perras, montréal, qc, H1E 1A4",45.6271766,-73.6147382
Fraser Highway Medical Clinic,Clinic,"27109, fraser highway, aldergrove, bc, V4W 3R2",49.05831,-122.4733
HÔPITALIER RICHELIEU,Hospital,"30, rue ferland, sorel-tracy, qc, J3P 3C7",46.0455502,-73.0935195
HÔTEL-DIEU DE MONTMAGNY,Hospital,"350, boul taché ouest, montmagny, qc, G5V 3R8",46.976367,-70.5970718
Fraser Supported Community Living,Other,"4723, 206a st, langley city, bc, V3A 6N7",49.0887548,-122.6516108
Fraser Valley Detox and Treatment Centre,Other,"6705, satchell st, abbotsford, bc, V4X 2E3",49.1239695,-122.4160247
Fraserside Residence,Other,"7738, gilley ave, burnaby, bc, V5J 4Y2",49.2134802,-122.9715652
JEWISH ELDERCARE CENTRE,Other,"5725, victoria ave, montréal, qc, H3W 3H6",45.492871,-73.633826
Fraserview Intermediate Care Lodge,Other,"9580, williams road, richmond, bc, V7A 1H2",49.1398092,-123.1174766
JEWISH REHABILITATION HOSPITAL,Hospital,"3205, alton goldbloom pl, laval, qc, H7V 1R2",45.548623,-73.73759100000001
Frederick Road,Other,"1075, frederick road, north vancouver, bc, V7K 1H9",49.3416966,-123.0440175
LE CAMPUS DE LACHINE DU CUSM,Other,"650, 16e ave, lachine, qc, H8S 3N5",45.440847999999995,-73.6774557
Fruitvale House,Other,"1889, columbia gardens rd, fruitvale, bc, V0G 1L0",49.1122882,-117.54355259999998
Fsj Acl Four-Plex,Other,"10519, 102 ave, fort st john, bc, V1J 2E7",56.248114,-120.85713
g.f. Strong Rehabilitation Centre,Hospital,"4255, laurel st, vancouver, bc, V5Z 2G9",49.246789,-123.125415
g.r. Baker Memorial Hospital,Hospital,"543, front st, quesnel, bc, V2J 2K7",52.9814079,-122.49955590000002
Garden Manor Rest Home,Other,"63, nicola st w, kamloops, bc, V2C 1J5",50.672905799999995,-120.3408427
Gate House Adult Care,Other,"3380, cobble hill rd, cobble hill, bc, V0R 1L0",48.681633000000005,-123.60684
Gatehouse,Other,"2847, gatehouse pl, courtenay, bc, V9N 8S1",49.7129894,-124.9862519
Gateway Crisis Stabilization Unit,Other,"517, 6 ave n, williams lake, bc, V2G 2G8",52.1383395,-122.1431155
Gateway House,Other,"2356, rosstown rd, nanaimo, bc, V9T 3R7",49.196739,-123.99909
MCGILL UNIVERSITY HEALTH CENTRE - MONTRÉAL CHEST INSTITUTE,Hospital,"3650, st urbain, montréal, qc, H2X 2P4",45.513014,-73.5752103
Gateway Lodge Complex Care,Other,"1488, 20 ave, prince george, bc, V2L 0A5",53.905864,-122.7543
Gaumont Residence,Other,"1070, north glen dr, kamloops, bc, V2B 5C1",50.7086212,-120.3829343
PAVILLON DUGUAY ENR,Other,"3934, ch du souvenir, laval, qc, H7W 1A8",45.5485683,-73.7579746
Gemini House,Other,"2244, pitt river rd, port coquitlam, bc, V3C 1R6",49.2542391,-122.7803914
George Derby Centre,Other,"7550, cumberland st, burnaby, bc, V3N 3X5",49.233602000000005,-122.916488
George Pearson Centre,Other,"700, west 57 ave, vancouver, bc, V6P 1S1",49.21877,-123.121144
Georgia House,Other,"4812, georgia st, delta, bc, V4K 2S9",49.0905341,-123.0876367
Georgia Medical Clinic,Clinic,"683, denman street, vancouver, bc, V6G 2L3",49.292361,-123.134202
German Canadian Care Home,Other,"2010, harrison dr, vancouver, bc, V5P 2P6",49.2098793,-123.0651145
Gibsons Medical Associates,Clinic,"211-1100, sunshine coast highway, gibsons, bc, V0N 1V7",49.409182,-123.5307
Gilley House,Other,"8275, gilley ave, burnaby, bc, V5J 4Y8",49.2089907,-122.9733811
Gilley Residence,Other,"1357, gilley cres, parksville, bc, V2P 1X2",49.341871999999995,-124.38007
Gillis House,Other,"1699, tutill court, merritt, bc, V1K 1C6",50.1075263,-120.7861348
Glacier View Lodge,Other,"2450, back rd, courtenay, bc, V9N 9G8",49.690363,-124.96434000000001
Gladstone House ( l & t Services),Other,"2182, e 30 ave, vancouver, bc, V5N 3A6",49.24299439999999,-123.0635011
Gladstone Street Group Home,Other,"5425, gladstone st, vancouver, bc, V5P 4S1",49.2356384,-123.0623051
Glengarry Hospital,Hospital,"1780, fairfield rd, victoria, bc, V8S 1G7",48.415282899999994,-123.3318857
Glenmore Lodge,Other,"325, drysdale blvd, kelowna, bc, V1V 1P5",49.9163179,-119.4400778
RÉSIDENCE CHRIST-ROI,Other,"300, blvd wilfrid-hamel, vanier, qc, G1M 2R9",46.8109218,-71.2579152
Glenora Farm 1 (Big House),Other,"4766, waters rd, duncan, bc, V9L 6S9",48.743009,-123.77905
Glenwood Seniors Community,Other,"1458, glenwood dr, agassiz, bc, V0M 1A0",49.2308549,-121.75817859999998
Glover Medical Centre,Clinic,"101-5796, glover road, langley, bc, V3A 4H9",49.108106,-122.65072
Goldcity Walk-in Clinic,Clinic,"458, reid street, quesnel, bc, V2J 2M6",52.98001,-122.497053
SHRINERS HOSPITAL FOR CHILDREN,Hospital,"1529, cedar ave, montréal, qc, H3G 1A6",45.499581,-73.588351
Golden and District General Hospital,Hospital,"835, 9 ave s, golden, bc, V0A 1H0",51.296482700000006,-116.9666022
Golden Avenue Residence,Other,"4574, golden avenue, powell river, bc, V8A 2X5",49.8396688,-124.5216509
9th Avenue North Medical Clinic,Clinic,"2306, 9 ave n, regina, sk, S4R 8C5",50.484705,-104.614231
Al Ritchie Heritage Community Health Centre,Clinic,"1550, 14 avenue, regina, sk, S4P 0W6",50.444203,-104.603159
Golden Grove Care Facility,Other,"130, strathcona way, campbell river, bc, V9H 0B1",49.9486852,-125.206101
Albert and Parliament Primary Health Care Centre,Clinic,"3992, albert street, regina, sk, S4S 3R1",50.415871,-104.619286
Alcohol and Drug Services - Saul Cohen Centre,Clinic,"200, heritage drive, melville, sk, S0A 2P0",50.93824,-102.822121
All Nations' Healing Hospital,Hospital,"450, 8 st, fort quappelle, sk, S0G 1S0",50.76168870000001,-103.7870088
Arcola Health Centre,Hospital,"607, prairie ave, arcola, sk, S0C 0G0",49.637817600000005,-102.4846027
Assiniboia Union Hospital,Hospital,"501, 6 avenue, assiniboia, sk, S0H 0B0",49.628594,-105.983248
Autism Centre,Clinic,"2166, broad street, regina, sk, S4P 1Y5",50.444378,-104.606664
Avon Medical Clinic,Clinic,"2781, avonhurst dr, regina, sk, S4R 3J3",50.470403999999995,-104.622257
Balcarres Integrated Care Centre,Hospital,"100, south elgin st, balcarres, sk, S0G 0C0",50.803208000000005,-103.550837
Battlefords District Care Centre,Other,"1308, winnipeg street, battleford, sk, S0M 0E0",52.720038,-108.28434
Battlefords Union Hospital,Hospital,"1092, 107 street, north battleford, sk, S9A 1Z1",52.771802,-108.288771
Beauval Clinic,Clinic,"NA, lavoie st, beauval, sk, S0M 0G0",55.146799,-107.614342
Beechy Health Centre,Clinic,"226, 1 avenue n, beechy, sk, S0L 0C0",50.877410999999995,-107.383777
Bengough Health Centre,Other,"400, 2 street w, bengough, sk, S0C 0K0",49.393536,-105.13443999999998
Bethany Pioneer Village,Other,"NA, NA, middle lake, sk, S0K 2X0",52.476943000000006,-105.318248
Big River Health Centre,Clinic,"220, 1 ave n, big river, sk, S0J 0E0",53.8342818,-107.040604
Biggar and District Health Centre,Hospital,"501, 1 avenue w, biggar, sk, S0K 0M0",52.05738,-107.996219
Biggar Hospital,Hospital,"501, 1 ave w, biggar, sk, S0K 0M0",52.0566752,-107.9968687
Birch Hills Health Facility (Birch Hills Primary Health Care Clinic),Clinic,"3, wilson street, birch hills, sk, S0J 0G0",52.984637199999995,-105.4389316
Blaine Lake Primary Health Care Clinic,Clinic,"307, main st s, blaine lake, sk, S0J 0J0",52.8302425,-106.882716
Borden Primary Health Centre,Clinic,"308, shepard street, borden, sk, S0K 0N0",52.406866,-107.24079
Border Health Centre,Clinic,"301, 1 street w, climax, sk, S0N 0N0",49.209032,-108.386761
Border-Line Housing Company,Other,"NA, NA, carnduff, sk, S0C 0S0",49.177734,-101.79285
Broad Street Medical Clinic,Clinic,"2210, broad street, regina, sk, S4P 4V6",50.443324,-104.607271
Broadview Centennial Lodge,Other,"310, calgary street, broadview, sk, S0G 0K0",50.376551,-102.573208
Broadview Hospital,Hospital,"901, nina street, broadview, sk, S0G 0K0",50.373996000000005,-102.584409
Broadview Medical Clinic,Clinic,"901, nina street, broadview, sk, S0G 0K0",50.373996000000005,-102.584409
Buffalo Narrows Clinic,Clinic,"310, davey st, buffalo narrows, sk, S0M 0J0",55.861272,-108.480389
Cabri Medical Clinic (Primary Health Care Clinic),Clinic,"519, 1 street n, cabri, sk, S0N 0J0",50.616969,-108.467041
Candle Lake Health Clinic,Clinic,"NA, highway 265, candle lake, sk, S0J 3E0",53.73576800000001,-105.262795
Canora Hospital,Hospital,"1219, main street, canora, sk, S0A 0L0",51.626261,-102.439565
Carlyle Community Health,Clinic,"206, railway avenue e, carlyle, sk, S0C 0R0",49.634747999999995,-102.264735
Carlyle Primary Health Care Team - Carlyle Medical Clinic,Clinic,"214, main street, carlyle, sk, S0C 0R0",49.63305,-102.267985
Carrot River Health Centre,Hospital,"4101, 1 avenue w, carrot river, sk, S0E 0L0",53.28255600000001,-103.591844
Centennial Special Care Home,Other,"407, second street s, langenburg, sk, S0A 2A0",50.840139,-101.705453
Central Butte Regency Hospital,Hospital,"601, canada street, central butte, sk, S0H 0T0",50.799886,-106.50876
Central Haven Special Care Home,Other,"1020, avenue i n, saskatoon, sk, S7L 2H7",52.141159,-106.682821
Central Parkland Lodge,Other,"NA, NA, lanigan, sk, S0K 2M0",51.851296999999995,-105.025858
Circle Drive Special Care Home,Other,"3055, preston ave, saskatoon, sk, S7T 1C3",52.086490000000005,-106.620778
Community Health Services,Clinic,"350, cheadle street w, swift current, sk, S9H 4G3",50.283113,-107.804835
Cornerstone Therapies,Clinic,"200, bradbrooke drive, yorkton, sk, S3N 2K5",51.2024191,-102.4763671
Coronach Health Centre,Clinic,"240, south avenue e, coronach, sk, S0H 0Z0",49.1094328,-105.5150674
Craik and District Health Centre,Clinic,"620, mary street, craik, sk, S0G 0V0",51.044847999999995,-105.811652
Creighton Community Health Services,Clinic,"298, 1 street e, creighton, sk, S0P 0A0",54.757036,-101.894881
Crescent View Clinic,Clinic,"131, 1 avenue ne, moose jaw, sk, S6H 0Y9",50.390948,-105.53174
Cudworth Nursing Home/Health Centre,Other,"NA, NA, cudworth, sk, S0K 1B0",52.48680699999999,-105.737803
Cumberland House Addiction Services,Other,"NA, NA, cumberland house, sk, S0E 0S0",53.956179000000006,-102.263573
Cumberland House Health Centre,Clinic,"NA, 2 avenue, cumberland house, sk, S0E 0S0",53.956179000000006,-102.263573
Cupar Primary Health Care Clinic,Clinic,"213, mills street, cupar, sk, S0G 0Y0",50.946074,-104.206599
Cut Knife Health Complex,Clinic,"102, dion avenue, cut knife, sk, S0M 0N0",52.747485,-109.026639
Cypress Regional Hospital,Hospital,"2004, saskatchewan drive, swift current, sk, S9H 5M8",50.311026,-107.775948
Dalmeny Spruce Manor Special Care Home,Other,"701, 1 st, dalmeny, sk, S0K 1E0",52.346835,-106.77263700000002
Good Samaritan Canada Heron Grove,Other,"4900, 20 st, vernon, bc, V1T 9W3",50.2830685,-119.259139
Davidson Health Centre,Hospital,"900, government rd, davidson, sk, S0G 1A0",51.266611,-105.9844709
Delisle Primary Health Centre,Clinic,"305, first street w, delisle, sk, S0L 0P0",51.924692,-107.134783
Dinsmore Health Care Centre,Hospital,"207, 1 street e, dinsmore, sk, S0L 0T0",51.333416,-107.44446299999998
Dr. f.h. Wigmore Regional Hospital,Hospital,"55, diefenbaker drive, moose jaw, sk, S6J 0C2",50.419139,-105.525048
Duck Lake Beardy's Primary Health Team - Stobart Community School,Clinic,"556, front street box, NA, sk, S6J 0C2",52.809276,-106.230402
Good Samaritan Canada Village by the Station,Other,"270, hastings avenue, penticton, bc, V2A 2V6",49.485198,-119.596264
Echo Lodge Special Care Home,Other,"560, broadway street w, fort quappelle, sk, S0G 1S0",50.770243,-103.80149
Elrose Health Centre,Other,"505, main street, elrose, sk, S0L 1Z0",51.198192,-108.032739
"Good Samaritan Canada, Mountainview Village",Other,"3070, burtch rd, kelowna, bc, V1W 5G2",49.8620909,-119.4638895
Estevan Mental Health Clinic,Clinic,"1174, nicholson rd, estevan, sk, S4A 2V6",49.15058,-103.012755
Estevan Regional Nursing Home,Other,"1921, wellock road, estevan, sk, S4A 2B5",49.154117,-102.992586
Eston Health Centre,Other,"800, main street, eston, sk, S0L 1A0",51.146105,-108.751929
Extendicare,Other,"1151, coteau street w, moose jaw, sk, S6H 5G5",50.382142,-105.56752
Good Shepherd Lodge,Other,"14858, prospect ave, white rock, bc, V4B 2B1",49.0245841,-122.8105055
Family Medicine Unit,Clinic,"1621, albert street, regina, sk, S4S 2S3",50.452644,-104.617718
Fillmore Union Health Centre,Other,"100, main street, fillmore, sk, S0G 1N0",49.878156,-103.437282
Foam Lake Health Centre,Clinic,"715, saskatchewan avenue e, foam lake, sk, S0A 1A0",51.641071,-103.522845
Goodlad House,Other,"7912, goodlad st, burnaby, bc, V5E 2H9",49.229818,-122.940914
Fort Medical Clinic,Clinic,"121, broadway street w, fort quappelle, sk, S0G 1S0",50.769493,-103.795093
Fort Qu'Appelle Primary Health Care Centre,Clinic,"178, boundary ave n, fort quappelle, sk, S0G 1S0",50.770855,-103.795049
Four Directions Community Health Centre,Clinic,"1504, albert street, regina, sk, S4P 2S4",50.454957,-104.618354
Foyer St. Joseph (Affiliate),Other,"428, 2 avenue, ponteix, sk, S0N 1Z0",49.746771,-107.494359
Gainsborough & Area Health Centre,Other,"312, stephens street, gainsborough, sk, S0C 0Z0",49.179083,-101.450889
Oxbow Ems- Ambulance,Clinic,"NA, NA, oxbow, sk, S0C 0Z0",49.235184999999994,-102.173342
Gateway Alliance Medical Clinic (North),Clinic,"4535, rochdale blvd, regina, sk, S4X 4R3",50.496028,-104.646666
Gateway Alliance Medical Clinic (South),Clinic,"4661, rae street, regina, sk, S4S 3R3",50.404968,-104.620637
Gordon Head Medical Treatment Centre,Clinic,"103-1595, mckenzie avenue, victoria, bc, V8N 1A4",48.468573,-123.333124
Golden Acres Lodge,Other,"300, 10 st e, wynyard, sk, S0A 4V0",51.79501,-104.163027
Golden Prairie Home,Other,"916, eden street, indian head, sk, S0G 2K0",50.537795,-103.665662
Goodwill Manor Nursing Home,Other,"NA, NA, duck lake, sk, S0K 1J0",52.81470699999999,-106.23065
"Grasslands Health Centre, Rockglen",Other,"1006, 2 hwy, rockglen, sk, S0H 3R0",49.18182,-105.952489
Greens Medical Clinic,Clinic,"712437, green falls drive, regina, sk, S4V 3T6",50.416796000000005,-104.517287
Grenfell Health Centre,Clinic,"721, stella street, grenfell, sk, S0G 2B0",50.412264,-102.934048
Grenfell Pioneer Home,Other,"710, regina avenue, grenfell, sk, S0G 2B0",50.410051,-102.934515
Gull Lake Special Care Centre,Other,"751, grey street, gull lake, sk, S0N 1A0",50.090297,-108.481251
Hafford Special Care Centre and Primary Care Site,Clinic,"213, south ave e, hafford, sk, S0J 1A0",52.72496700000001,-107.348039
Harbour Landing Medical Clinic,Clinic,"4500, gordon road, regina, sk, S4W 0B7",50.408252000000005,-104.645982
Herb Bassett Home,Other,"1200, 24 st w, prince albert, sk, S6V 4B2",53.19098100000001,-105.784022
Herbert & District Integrated Health Facility,Hospital,"405, herbert ave, herbert, sk, S0H 2A0",50.4263039,-107.21888529999998
Hodgeville Health Centre,Clinic,"105, main street, hodgeville, sk, S0H 2B0",50.112005,-106.962552
Home Care - Paphr,Clinic,"4 204, 2 ave e, debden, sk, S0J 0S0",53.524097999999995,-106.880345
Home Care - South,Clinic,"1174, nicholson road, estevan, sk, S4A 2V3",49.152536,-103.012175
Gorge View Home,Other,"2972, wascana st, victoria, bc, V9H 1V7",48.4465292,-123.39234109999998
Hudson Bay Health Care Facility,Hospital,"614, prince st, hudson bay, sk, S0E 0Y0",52.85392589999999,-102.387622
Humboldt District Health Complex,Hospital,"515, 14 avenue, humboldt, sk, S0K 2A0",52.2124959,-105.1210596
Idylwyld Centre - Main Office,Clinic,"#101-310, idylwyld drive n, saskatoon, sk, S7L 0Z2",52.13278,-106.669402
Indian Head Union Hospital,Hospital,"300, hospital st, indian head, sk, S0G 2K0",50.536462,-103.6785068
Integral Medical Centre (Imc),Clinic,"6210, dewdney ave, regina, sk, S4T 1E2",50.455490999999995,-104.669915
Integrated Wellness and Health Balance Center,Clinic,"2318, 9 avenue n, regina, sk, S4R 8C5",50.484753000000005,-104.61455
Invermay Health Centre,Other,"303, 4 ave n, invermay, sk, S0A 1M0",51.808982,-103.153413
Ituna Pioneer Health Care Centre,Clinic,"320, fifth avenue ne, ituna, sk, S0A 1N0",51.17207,-103.490539
Gorse Street Residence,Other,"1945, gorse st, prince george, bc, V2L 1G7",53.905864,-122.7543
Jim Pattison Children's Hospital,Hospital,"103, hospital drive, saskatoon, sk, S0A 1N0",52.131555,-106.64194
Jubilee Home,Other,"3902, 45 avenue, lloydminster, sk, S9V 1Z2",53.274963,-109.991473
